Año;Autoridad Portuaria;Graneles Líquidos;Graneles Sólidos;Mercancía General;Pesca Fresca;Avituallamiento;Tráfico Local;TOTAL TRAFICO;TEUS;Buques
2005;Baleares;2.030.682;2.318.339;8.678.283;2.954;277.827;0;13.308.085;191.332;10.343
2005;Barcelona;12.530.921;4.051.927;27.253.997;2.858;1.198.823;0;45.038.526;2.071.481;8.853
2005;Bilbao;19.684.508;4.261.127;9.291.535;0;137.004;726.443;34.100.617;503.805;3.572
2005;Cartagena;20.847.754;5.082.060;840.404;1.411;131.783;4.589;26.908.001;38.089;1.690
2005;Castellón;8.949.177;3.293.591;1.129.985;7.295;39.427;0;13.419.475;43.773;1.177
2005;Ceuta;611.010;71.229;861.220;182;482.243;0;2.025.884;10.084;8.506
2005;Ferrol-S. Cibrao;822.346;8.289.621;566.570;321;16.122;9.934;9.704.914;126;1.063
2005;Gijón;1.418.466;19.658.167;489.425;8.462;216.351;0;21.790.871;5.048;1.017
2005;Huelva;12.927.243;7.512.508;465.509;1.853;123.419;0;21.030.532;0;1.645
2005;Las Palmas;4.792.965;1.772.615;16.203.234;5.764;2.162.083;0;24.936.661;1.203.154;10.205
2005;Málaga;75.928;2.100.473;2.488.241;1.338;116.292;0;4.782.272;247.548;1.669
2005;Marín y Ría de Pontevedra;3;1.016.241;833.223;5.040;82.129;86;1.936.722;32.128;610
2005;Melilla;74.088;84.427;642.776;0;26.065;0;827.356;17.150;1.077
2005;Motril;1.320.118;1.246.697;194.997;3.383;17.211;0;2.782.406;0;514
2005;Pasaia;0;3.281.138;2.079.354;8.518;40.978;0;5.409.988;0;1.600
2005;Santa Cruz de Tenerife;9.558.027;1.892.082;7.274.673;3.260;1.028.896;0;19.756.938;457.551;18.786
2005;Santander;277.558;5.139.652;1.219.478;5.549;58.640;0;6.700.877;104;1.629
2005;Sevilla;364.271;2.788.885;1.704.237;0;47.550;0;4.904.943;115.669;1.441
2005;Tarragona;17.906.990;11.903.296;1.176.304;4.035;213.033;0;31.203.658;8.980;2.784
2005;Valencia;1.380.287;6.360.690;33.121.028;1.928;328.809;0;41.192.742;2.409.821;6.601
2005;Vigo;64.547;692.535;3.495.208;85.787;429.754;512;4.768.343;205.497;2.194
2005;Vilagarcía;365.514;578.235;240.385;0;9.499;0;1.193.633;0;339
2004;A Coruña;7.331.053;4.444.103;857.310;25.366;108.049;540.292;13.306.173;0;1.335
2004;Alicante;148.317;1.555.366;1.600.617;4.341;50.509;3;3.359.153;153.830;1.153
2004;Almería-Motril;1.364.053;6.818.594;733.542;5.130;174.144;1;9.095.464;104;3.088
2004;Avilés;744.226;3.007.680;1.258.393;13.738;61.604;0;5.085.641;9.719;981
2004;Bahía de Algeciras;21.939.418;2.780.515;36.584.302;2.508;2.650.244;1.785.525;65.742.512;2.937.381;21.253
2004;Bahía de Cádiz;69.773;2.222.922;2.888.490;28.821;87.071;0;5.297.077;114.528;1.698
2004;Baleares;1.872.061;2.224.256;7.817.076;3.325;254.099;0;12.170.817;226.615;9.548
2004;Barcelona;11.071.098;3.468.306;24.781.387;3.618;873.921;0;40.198.330;1.916.493;8.610
2004;Bilbao;18.598.894;5.013.102;8.894.417;3;139.577;690.342;33.336.335;468.959;3.710
2004;Cartagena;18.757.797;3.854.071;625.346;2.004;124.024;1.291;23.364.533;28.109;1.487
2004;Castellón;7.790.220;2.631.021;977.401;8.836;35.076;0;11.442.554;35.041;1.039
2004;Ceuta;548.828;90.432;821.583;269;606.264;0;2.067.376;8.097;8.286
2004;Ferrol-S. Cibrao;819.147;8.609.035;456.052;210;20.320;26;9.904.790;51;951
2004;Gijón;1.324.318;18.254.573;268.503;6.132;198.442;8.498;20.060.466;4.441;806
2004;Huelva;11.295.141;6.340.952;437.274;5.268;123.217;6.011;18.207.863;0;1.698
2004;Las Palmas;4.668.397;1.701.833;15.148.487;6.635;2.132.844;0;23.658.196;1.215.241;10.891
2004;Málaga;107.485;1.784.047;848.008;1.197;121.898;0;2.862.635;91.686;1.539
2004;Marín y Ría de Pontevedra;5;819.559;801.659;6.695;81.175;432;1.709.525;30.535;985
2004;Melilla;76.544;50.556;590.240;0;25.075;0;742.415;17.328;1.032
2004;Pasaia;100.157;3.493.817;2.084.997;11.097;46.468;0;5.736.536;0;1.648
2004;Santa Cruz de Tenerife;8.963.586;1.991.158;7.043.656;3.797;1.040.383;0;19.042.580;431.999;19.349
2004;Santander;341.027;4.515.841;1.057.310;5.396;56.255;0;5.975.829;143;1.566
2004;Sevilla;388.592;2.452.005;1.663.376;0;37.016;0;4.540.989;111.092;1.312
2004;Tarragona;18.057.395;10.650.006;933.232;3.812;201.236;4.383;29.850.064;17.214;2.602
2004;Valencia;1.674.914;5.447.451;30.368.369;2.090;355.432;0;37.848.256;2.145.236;6.759
2004;Vigo;88.803;686.043;3.459.153;85.735;408.811;521;4.729.066;197.269;2.309
2004;Vilagarcía;292.808;592.001;238.800;0;10.421;0;1.134.030;0;348
2003;A Coruña;7.608.091;3.649.410;771.456;24.306;127.902;523.070;12.704.235;8;1.282
2003;Alicante;126.156;1.489.993;1.614.207;4.401;64.788;0;3.299.545;146.477;1.292
2003;Almería-Motril;1.274.680;6.118.173;705.863;7.016;164.626;0;8.270.358;77;2.990
2003;Avilés;849.764;2.787.120;1.058.943;14.990;60.230;0;4.771.047;9.083;901
2003;Bahía de Algeciras;21.569.895;2.820.925;32.369.693;5.628;2.534.026;1.616.025;60.916.192;2.517.318;20.724
2003;Bahía de Cádiz;68.077;1.797.214;2.772.043;32.176;88.637;270;4.758.417;150.100;1.884
2003;Baleares;1.697.522;2.070.453;7.492.803;3.333;233.189;349.430;11.846.730;263.892;10.354
2003;Barcelona;10.159.372;3.697.827;20.917.489;4.462;732.923;0;35.512.073;1.652.366;8.861
2003;Bilbao;16.033.580;4.142.642;8.208.755;0;122.687;502.481;29.010.145;448.565;3.485
2003;Cartagena;16.543.149;4.035.035;657.602;2.812;107.979;566;21.347.143;36.918;1.542
2003;Castellón;6.706.344;2.261.794;963.520;9.052;44.284;0;9.984.994;33.103;1.120
2003;Ceuta;659.658;69.784;748.153;311;629.857;0;2.107.763;6.705;9.592
2003;Ferrol-S. Cibrao;893.440;7.595.784;375.545;104;25.319;175.091;9.065.283;58;907
2003;Gijón;1.438.627;16.894.547;467.061;9.025;187.486;168.334;19.165.080;10.397;946
2003;Huelva;11.323.146;6.042.879;728.891;5.966;112.819;0;18.213.701;0;1.705
2003;Las Palmas;4.765.889;1.700.855;13.214.652;9.404;2.078.396;0;21.769.196;990.937;10.826
2003;Málaga;73.826;1.844.139;367.688;1.778;119.149;0;2.406.580;1.650;1.475
2003;Marín y Ría de Pontevedra;358;779.161;879.812;6.014;98.848;318;1.764.511;32.808;980
2003;Melilla;85.922;52.007;607.582;0;26.985;0;772.496;16.819;1.034
2003;Pasaia;255.615;3.446.739;2.200.472;11.441;45.267;0;5.959.534;0;1.718
2003;Santa Cruz de Tenerife;8.877.440;1.557.549;6.509.907;4.836;1.057.084;0;18.006.816;414.373;19.148
2003;Santander;354.835;3.964.772;1.054.430;4.574;58.891;0;5.437.502;10.007;1.623
2003;Sevilla;298.851;2.902.435;1.633.389;0;11.727;0;4.846.402;102.854;1.391
2003;Tarragona;17.931.962;9.540.809;1.324.825;3.249;209.692;4.619;29.015.156;57.019;2.661
2003;Valencia;1.626.070;5.396.239;27.937.800;2.457;338.885;0;35.301.451;1.992.903;6.797
2003;Vigo;56.604;773.641;3.172.131;88.090;393.669;911;4.485.046;165.973;2.396
2003;Vilagarcía;438.895;443.837;275.373;0;10.456;0;1.168.561;0;399
2002;A Coruña;7.543.733;4.074.019;567.727;25.434;136.332;659.456;13.006.701;0;1.344
2002;Alicante;109.530;1.269.392;1.582.738;5.620;86.198;0;3.053.478;135.526;1.331
2002;Almería-Motril;1.232.528;5.868.380;611.068;7.868;137.014;0;7.856.858;122;2.546
2002;Avilés;757.980;2.456.428;878.906;14.552;54.216;0;4.162.082;6.706;860
2002;Bahía de Algeciras;19.497.624;2.839.452;28.913.945;6.167;2.433.311;1.585.138;55.275.637;2.234.248;19.572
2002;Bahía de Cádiz;141.086;1.851.870;2.544.411;39.201;104.770;7.668;4.689.006;108.157;2.016
2002;Baleares;1.657.738;1.976.404;7.109.156;3.333;244.846;311.554;11.303.031;242.786;9.944
2002;Barcelona;9.930.153;3.383.298;19.294.744;5.541;384.284;0;32.998.020;1.461.232;8.993
2002;Bilbao;13.125.429;4.625.295;7.873.372;0;129.137;505.870;26.259.103;455.013;3.672
2002;Cartagena;17.160.962;4.184.414;611.050;2.966;126.059;9.034;22.094.485;45.469;1.578
2002;Castellón;7.501.222;1.905.114;927.258;8.841;34.426;0;10.376.861;29.446;1.230
2002;Ceuta;806.999;90.583;805.339;272;698.582;0;2.401.775;8.544;9.507
2002;Ferrol-S. Cibrao;1.108.560;7.626.424;492.427;151;18.270;274;9.246.106;64;989
2002;Gijón;1.487.522;18.143.288;565.006;10.410;178.052;140.805;20.525.083;10.402;1.064
2002;Huelva;10.867.027;6.504.217;799.458;6.333;148.122;0;18.325.157;0;1.710
2002;Las Palmas;4.301.234;1.677.526;10.455.504;7.714;2.005.496;0;18.447.474;758.860;10.512
2002;Málaga;119.979;1.805.006;367.623;3.237;122.352;2;2.418.199;2.764;1.417
2002;Marín y Ría de Pontevedra;377;1.086.442;814.864;6.435;98.521;145;2.006.784;37.304;979
2002;Melilla;82.008;117.715;617.230;0;23.611;0;840.564;16.444;1.079
2002;Pasaia;261.900;3.245.738;1.838.143;11.900;45.059;0;5.402.740;368;1.633
2002;Santa Cruz de Tenerife;8.606.737;1.530.176;6.171.962;2.410;1.102.949;0;17.414.234;400.369;16.432
2002;Santander;371.347;4.107.711;931.265;7.945;62.942;0;5.481.210;8.378;1.501
2002;Sevilla;242.814;2.765.243;1.678.503;0;8.837;9.156;4.704.553;100.960;1.404
2002;Tarragona;17.492.297;10.848.111;1.203.141;4.908;187.474;0;29.735.931;53.121;2.624
2002;Valencia;1.624.565;5.797.755;25.393.372;2.943;226.528;0;33.045.163;1.821.005;7.068
2002;Vigo;42.031;683.994;3.045.668;82.604;371.107;778;4.226.182;159.325;2.391
2002;Vilagarcía;363.468;521.790;268.683;0;10.204;0;1.164.145;0;428
2001;A Coruña;7.203.406;3.238.178;425.081;29.167;164.077;721.385;11.781.294;46;1.288
2001;Alicante;116.180;1.569.573;1.536.117;7.384;61.921;0;3.291.175;133.413;1.393
2001;Almería-Motril;1.045.832;6.824.719;575.606;9.358;83.279;0;8.538.794;111;2.218
2001;Avilés;674.891;2.115.307;936.301;12.235;54.815;0;3.793.549;26;862
2001;Bahía de Algeciras;19.141.826;2.556.619;27.344.496;6.947;2.249.885;1.447.124;52.746.897;2.151.770;18.082
2001;Bahía de Cádiz;182.901;1.766.286;2.575.457;30.860;114.993;15.827;4.686.324;99.419;2.045
2001;Baleares;1.707.108;1.826.806;6.887.036;2.862;217.119;251.730;10.892.661;265.494;8.491
2001;Barcelona;9.515.171;3.817.788;18.136.271;5.672;388.310;0;31.863.212;1.411.054;8.651
2001;Bilbao;14.325.967;4.413.628;7.919.882;6;135.080;305.986;27.100.549;454.378;3.845
2001;Cartagena;16.310.239;3.390.028;557.206;3.378;99.293;11.698;20.371.842;34.692;1.526
2001;Castellón;7.751.863;1.666.936;850.815;12.136;35.480;0;10.317.230;24.606;1.205
2001;Ceuta;795.140;97.310;813.408;443;720.476;0;2.426.777;14.266;9.685
2001;Ferrol-S. Cibrao;728.049;7.371.977;611.276;277;16.537;337;8.728.453;39;1.029
2001;Gijón;1.338.838;17.024.192;573.033;8.741;143.914;114.355;19.203.073;18.351;1.069
2001;Huelva;12.136.770;5.477.192;939.743;6.333;103.364;0;18.663.402;0;1.678
2001;Las Palmas;4.627.045;1.644.032;9.691.160;14.467;2.045.414;0;18.022.118;675.711;10.690
2001;Málaga;90.418;1.304.739;413.057;5.427;112.147;48;1.925.836;3.408;1.118
2001;Marín y Ría de Pontevedra;0;872.043;937.572;6.714;89.572;3;1.905.904;35.488;1.241
2001;Melilla;86.347;64.442;591.352;0;18.653;0;760.794;15.614;1.011
2001;Pasaia;251.600;2.734.618;1.673.112;13.699;46.962;0;4.719.991;0;1.550
2001;Santa Cruz de Tenerife;8.547.432;1.464.299;6.084.965;2.831;1.031.991;0;17.131.518;402.894;15.619
2001;Santander;388.545;3.698.545;1.009.528;7.639;72.185;0;5.176.442;1.352;1.682
2001;Sevilla;264.471;2.957.558;1.643.525;0;10.634;16.571;4.892.759;101.410;1.449
2001;Tarragona;16.980.197;8.726.684;964.140;7.312;219.716;20;26.898.069;39.064;2.589
2001;Valencia;1.742.908;5.299.794;21.421.983;3.921;224.421;0;28.693.027;1.506.805;6.912
2001;Vigo;51.726;697.906;2.949.734;79.696;332.310;596;4.111.968;141.330;2.455
2001;Vilagarcía;317.282;431.432;267.572;0;8.230;0;1.024.516;0;403
2000;A Coruña;7.632.430;3.726.790;295.934;43.698;137.386;778.244;12.614.482;2;1.298
2000;Alicante;161.354;1.514.410;1.305.408;9.402;55.953;0;3.046.527;113.110;1.336
2000;Almería-Motril;991.464;7.337.329;546.561;7.655;80.833;0;8.963.842;255;2.426
2000;Avilés;650.433;2.329.022;1.094.663;12.356;51.132;0;4.137.606;12;901
2000;Bahía de Algeciras;18.204.702;2.827.679;22.984.026;9.032;2.151.481;1.382.897;47.559.817;2.009.122;19.005
2000;Bahía de Cádiz;216.551;1.774.588;2.498.529;29.471;124.371;9.894;4.653.404;76.361;2.187
2000;Baleares;1.622.395;1.882.177;6.725.782;3.038;272.723;68.317;10.574.432;282.451;9.421
2000;Barcelona;8.965.673;3.254.239;17.584.980;5.726;349.762;0;30.160.380;1.387.570;9.138
2000;Bilbao;14.764.325;4.452.656;8.302.125;11;129.046;990.807;28.638.970;434.362;3.795
2000;Cartagena;13.750.893;2.999.673;481.117;2.863;102.984;11.383;17.348.913;39.501;1.559
2000;Castellón;7.670.328;1.562.649;612.045;15.532;28.466;0;9.889.020;19.783;1.052
2000;Ceuta;1.479.054;64.171;722.736;283;629.812;0;2.896.056;11.480;11.533
2000;Ferrol-S. Cibrao;822.623;7.045.159;588.313;147;32.213;10.142;8.498.597;63;1.015
2000;Gijón;1.451.477;17.417.568;616.097;7.006;184.508;130.326;19.806.982;19.204;1.084
2000;Huelva;11.665.246;5.207.146;933.774;5.996;58.351;0;17.870.513;0;1.837
2000;Las Palmas;4.129.067;1.433.700;8.737.189;5.036;1.901.141;0;16.206.133;621.104;12.602
2000;Málaga;1.997.530;1.253.343;395.341;5.883;113.251;122;3.765.470;4.062;1.574
2000;Marín y Ría de Pontevedra;0;703.709;862.942;8.182;109.009;23;1.683.865;29.147;944
2000;Melilla;85.803;63.482;633.334;0;19.315;0;801.934;18.049;1.042
2000;Pasaia;159.900;2.815.682;1.629.640;14.682;51.473;0;4.671.377;0;1.560
2000;Santa Cruz de Tenerife;8.528.523;1.501.641;5.850.820;2.709;1.090.545;0;16.974.238;393.371;18.967
2000;Santander;378.525;3.642.889;1.240.386;7.018;80.045;0;5.348.863;3.358;1.600
2000;Sevilla;262.141;2.695.424;1.522.394;0;7.291;4.943;4.492.193;91.095;1.410
2000;Tarragona;17.190.390;9.235.030;931.602;7.678;208.032;0;27.572.732;44.855;2.582
2000;Valencia;1.740.575;4.638.486;18.839.326;2.905;172.875;0;25.394.167;1.308.010;6.977
2000;Vigo;44.600;504.171;2.961.870;75.828;289.678;670;3.876.817;145.460;2.554
2000;Vilagarcía;279.120;421.105;289.401;0;11.938;0;1.001.564;0;391
